COMET FPGA pin,Pathfinder COMET connector,DCB data GBTx pin,Signal ID
COMET_B_J1-IC3-83,COMET_B_J1-83,U5_IC2-U6,DC4_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-84,COMET_B_J1-92,U4_IC2-D10,DC3_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-85,COMET_B_J1-90,U4_IC2-D9,DC3_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-86,COMET_B_J1-86,U4_IC2-F8,DC3_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-87,COMET_B_J1-84,U4_IC2-F7,DC3_ELKS.GBTX_ELK_CH7_1_P
COMET_B_J1-IC3-90,COMET_B_J1-80,U3_IC2-D10,DC2_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-91,COMET_B_J1-78,U3_IC2-D9,DC2_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J2-IC3-159,COMET_B_J2-87,U6_IC2-V7,DC5_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-160,COMET_B_J2-89,U6_IC2-W7,DC5_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-161,COMET_B_J2-93,U6_IC2-U4,DC5_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-163,COMET_B_J2-95,U6_IC2-T4,DC5_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-166,COMET_B_J2-4,U2_IC2-A15,DC1_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-167,COMET_B_J2-6,U2_IC2-A16,DC1_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-168,COMET_B_J2-10,U3_IC2-A7,DC2_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J2-IC3-169,COMET_B_J2-12,U3_IC2-A8,DC2_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-177,COMET_B_J2-3,U5_IC2-A15,DC4_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-179,COMET_B_J2-5,U5_IC2-A16,DC4_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-180,COMET_B_J2-9,U6_IC2-A7,DC5_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J2-IC3-181,COMET_B_J2-11,U6_IC2-A8,DC5_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-182,COMET_B_J2-15,U6_IC2-A15,DC5_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-183,COMET_B_J2-17,U6_IC2-A16,DC5_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-188,COMET_B_J2-27,U1_IC2-V7,DC0_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-189,COMET_B_J2-29,U1_IC2-W7,DC0_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-190,COMET_B_J2-33,U1_IC2-U4,DC0_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-191,COMET_B_J2-35,U1_IC2-T4,DC0_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-193,COMET_B_J2-39,U2_IC2-V7,DC1_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-194,COMET_B_J2-41,U2_IC2-W7,DC1_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-196,COMET_B_J2-45,U2_IC2-U4,DC1_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-197,COMET_B_J2-47,U2_IC2-T4,DC1_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-198,COMET_B_J2-51,U3_IC2-V7,DC2_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-199,COMET_B_J2-53,U3_IC2-W7,DC2_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-201,COMET_B_J2-57,U3_IC2-U4,DC2_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-202,COMET_B_J2-59,U3_IC2-T4,DC2_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-203,COMET_B_J2-63,U4_IC2-V7,DC3_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-204,COMET_B_J2-65,U4_IC2-W7,DC3_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-205,COMET_B_J2-69,U4_IC2-U4,DC3_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-206,COMET_B_J2-71,U4_IC2-T4,DC3_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-5,COMET_B_J2-75,U5_IC2-V7,DC4_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-6,COMET_B_J2-77,U5_IC2-W7,DC4_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-82,COMET_B_J2-83,U5_IC2-T4,DC4_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-83,COMET_B_J2-81,U5_IC2-U4,DC4_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-84,COMET_B_J2-90,U4_IC2-A16,DC3_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-85,COMET_B_J2-88,U4_IC2-A15,DC3_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-86,COMET_B_J2-84,U4_IC2-A8,DC3_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-87,COMET_B_J2-82,U4_IC2-A7,DC3_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J2-IC3-90,COMET_B_J2-78,U3_IC2-A16,DC2_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-91,COMET_B_J2-76,U3_IC2-A15,DC2_ELKS.GBTX_ELK_CH2_1_P
